206909,"The cost of any such arbitration will be divided equally between Nephros, on the one hand, and Medica, on the other hand, with each party bearing its own attorneys' fees and costs.","The cost of any such arbitration will be divided equally between Nephros, on the one hand, and Medica, on the other hand, with each party bearing its own attorneys' fees and costs.",0
139712,Purchaser shall pay 7UP/RC a deposit equal to 7UP/RC standard rate which shall be refunded to Purchaser when the shells are returned.,Purchaser may pay 7UP/RC a deposit equal to 7UP/RC standard rate which may be refunded to Purchaser when the shells are returned.,1
206905,"One arbitrator must be a lawyer, the second must be an expert in financial matters, and the third must have expertise in the manufacture of hemodialysis products.","One arbitrator must be a lawyer, the second must be an expert in financial matters, and the third must have expertise in the manufacture of hemodialysis products.",0
206900,The parties shall attempt in good faith to resolve any controversy or claim that may arise concerning their respective rights and obligations under this agreement.,The parties shall attempt in good faith to resolve any controversy or claim that may arise concerning their respective rights and obligations under this agreement.,0
206898,"""Indemnifiable Losses"" means all losses, liabilities, taxes, damages, deficiencies, obligations, fines, expenses, claims, demands, actions, suits, proceedings, judgments or settlements, whether or not resulting from Third Party Claims, incurred or suffered by an Indemnified Party, including interest and penalties with respect thereto and outofpocket expenses and reasonable attorneys' and accountants' and experts' fees and expenses incurred in the investigation or defense of any of the same or in asserting, preserving or enforcing any of the Indemnified Party's rights hereunder, net of any amounts recovered or recoverable under any insurance policy.","""Indemnifiable Losses"" means all losses, liabilities, taxes, damages, deficiencies, obligations, fines, expenses, claims, demands, actions, suits, proceedings, judgments or settlements, whether or not resulting from Third Party Claims, incurred or suffered by an Indemnified Party, including interest and penalties with respect thereto and outofpocket expenses and reasonable attorneys' and accountants' and experts' fees and expenses incurred in the investigation or defense of any of the same or in asserting, preserving or enforcing any of the Indemnified Party's rights hereunder, net of any amounts recovered or recoverable under any insurance policy.",0
56284,"Thereafter, Cubist shall follow such protocols.","Before agreeing to supply Chiron with Excess Quantities, Cubist may notify Chiron that it will do so only on the condition that Chiron pay its documented excess costs specified in such notice as being in excess of the applicable Transfer Price that Cubist will incur in order to provide the Excess Quantities.",0
206910,14.6 Force Majeure.,14.6 Force Majeure.,0
141471,Purchaser shall be responsible for the actual cost of the Equipment.,"7UP/RC shall also: (a) maintain and operate its bottling and canning plants at all times in good and sanitary operating order, condition and repair and in compliance with any standards required by applicable law, with sufficient production and storage capacity to fully and faithfully to perform its obligations under this Agreement; (b) date and production code each production run of the Product by a legible means to identify at least the date when and the packing such Product were produced, and keep Purchaser fully apprised of the coding systems used and all changes therein; and (c) package all Product in accordance with manufacturing standards (if any) specified by Purchaser and to such standards as are required by applicable law.",0
10,"Customer shall be primarily responsible for all financial obligations hereunder, irrespective of the entity to which Customer may direct that products be delivered.","Customer must not be primarily responsible for all financial obligations hereunder, irrespective of the entity to which Customer may direct that products be delivered.",1
152691,"CoPacker may not use any of such trademarks or trade names, except as WWI authorizes in writing.","CoPacker may use any of such trademarks or trade names, except as WWI authorizes in writing.",1
